Sample_Name,BioSample,BioProject,Other_Name,Other_ID,Dataset,City/Location,Country,Continent,Location_Descriptor,Material,Latitude,Longitude,Lat-Long,Depth [IN M],Date_Collected,cb-broad-desc,cb-narrow-desc,cb-material-type,sra:env_broad_scale,sra:env_local_scale,sra:env_medium
SRR28910849,PRJNA732392,SAMN41164978,haib17DB4959_H3MGVCCXY_SL259940,,metasub,,Colombia,South America,,,,,4.68597995 N 74.08053989 W,,6/21/17,built environment,subway,surface,,,
SRR28911076,PRJNA732392,SAMN41165011,haib17DB4959_H3MGVCCXY_SL259942,,metasub,,Japan,Asia,,,,,35.668267 N 139.717876 E,,6/21/17,built environment,subway,surface,,,
SRR28911599,PRJNA732392,SAMN41164943,haib17DB4959_H3MGVCCXY_SL259943,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911541,PRJNA732392,SAMN41165125,haib17DB4959_H3MGVCCXY_SL259944,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911456,PRJNA732392,SAMN41164731,haib17DB4959_H3MGVCCXY_SL259945,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910930,PRJNA732392,SAMN41164710,haib17DB4959_H3MGVCCXY_SL259946,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910777,PRJNA732392,SAMN41165237,haib17DB4959_H3MGVCCXY_SL259948,,metasub,,Taiwan,Asia,,,,,25.04816 N 121.517522 E,,6/22/17,built environment,subway,surface,,,
SRR28911464,PRJNA732392,SAMN41164724,haib17DB4959_H3MGVCCXY_SL259949,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911052,PRJNA732392,SAMN41165098,haib17DB4959_H3MGVCCXY_SL259951,,metasub,,Japan,Asia,,,,,35.636288 N 139.883839 E,,6/24/17,built environment,subway,surface,,,
SRR28910766,PRJNA732392,SAMN41165312,haib17DB4959_H3MGVCCXY_SL259952,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910842,PRJNA732392,SAMN41165049,haib17DB4959_H3MGVCCXY_SL259956,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910836,PRJNA732392,SAMN41165055,haib17DB4959_H3MGVCCXY_SL259957,,metasub,,Taiwan,Asia,,,,,25.044555 N 121.524188 E,,6/22/17,built environment,subway,surface,,,
SRR28911581,PRJNA732392,SAMN41165024,haib17DB4959_H3MGVCCXY_SL259958,,metasub,,Japan,Asia,,,,,35.658674 N 139.699521 E,,7/1/17,built environment,subway,surface,,,
SRR28911302,PRJNA732392,SAMN41165259,haib17DB4959_H3MGVCCXY_SL259959,,metasub,,Japan,Asia,,,,,34.16530121 N 131.4576812 E,,6/22/17,built environment,subway,surface,,,
SRR28911198,PRJNA732392,SAMN41164577,haib17DB4959_H3MGVCCXY_SL259960,,metasub,,Japan,Asia,,,,,35.388377 N 139.426947 E,,6/23/17,built environment,subway,surface,,,
SRR28911095,PRJNA732392,SAMN41164929,haib17DB4959_H3MGVCCXY_SL259966,,metasub,,USA,North America,,,,,44.982562 N 93.275823 W,,6/21/17,built environment,subway,surface,,,
SRR28911334,PRJNA732392,SAMN41165166,haib17DB4959_H3MGVCCXY_SL259967,,metasub,,Japan,Asia,,,,,35.658743 N 139.699563 E,,7/1/17,built environment,subway,surface,,,
SRR28911508,PRJNA732392,SAMN41165285,haib17DB4959_H3MGVCCXY_SL259968,,metasub,,Japan,Asia,,,,,34.16899061 N 131.4672801 E,,6/22/17,built environment,subway,surface,,,
SRR28911611,PRJNA732392,SAMN41164867,haib17DB4959_H3MGVCCXY_SL259974,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911485,PRJNA732392,SAMN41164640,haib17DB4959_H3MGVCCXY_SL259975,,metasub,,USA,North America,,,,,44.955637 N 93.105183 W,,6/21/17,built environment,subway,surface,,,
SRR28911307,PRJNA732392,SAMN41165255,haib17DB4959_H3MGVCCXY_SL259976,,metasub,,Brazil,South America,,,,,23.56342 S 46.636705 W,,6/23/17,built environment,subway,surface,,,
SRR28910751,PRJNA732392,SAMN41165326,haib17DB4959_H3MGVCCXY_SL259977,,metasub,,Japan,Asia,,,,,34.09334054 N 131.3966392 E,,6/20/17,built environment,subway,surface,,,
SRR28910887,PRJNA732392,SAMN41164879,haib17DB4959_H3MGVCCXY_SL259984,,metasub,,USA,North America,,,,,44.902772 N 93.202171 W,,6/21/17,built environment,subway,surface,,,
SRR28911236,PRJNA732392,SAMN41164770,haib17DB4959_H3MGVCCXY_SL259985,,metasub,,Brazil,South America,,,,,23.563476 S 46.636693 W,,6/23/17,built environment,subway,surface,,,
SRR28911120,PRJNA732392,SAMN41164842,haib17DB4959_H3MGVCCXY_SL259986,,metasub,,Japan,Asia,,,,,33.609935 N 130.41981 E,,6/21/17,built environment,subway,surface,,,
SRR28910990,PRJNA732392,SAMN41164419,haib17DB4959_H3MGVCCXY_SL259987,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911491,PRJNA732392,SAMN41165300,haib17DB4959_HMCMJCCXY_SL336155,,metasub,,USA,North America,,,,,39.302161 N 76.62422 W,,6/29/17,built environment,subway,surface,,,
SRR28911346,PRJNA732392,SAMN41165155,haib17DB4959_HMCMJCCXY_SL336156,,metasub,,USA,North America,,,,,39.302143 N 76.624183 W,,6/29/17,built environment,subway,surface,,,
SRR28911566,PRJNA732392,SAMN41165037,haib17DB4959_HMCMJCCXY_SL336157,,metasub,,USA,North America,,,,,39.292761 N 76.621243 W,,6/29/17,built environment,subway,surface,,,
SRR28910928,PRJNA732392,SAMN41164712,haib17DB4959_HMCMJCCXY_SL336158,,metasub,,Australia,Oceania,,,,,27.456011 S 153.033923 E,,6/21/17,built environment,subway,surface,,,
SRR28911188,PRJNA732392,SAMN41164425,haib17DB4959_HMCMJCCXY_SL336159,,metasub,,USA,North America,,,,,39.292727 N 76.621246 W,,6/29/17,built environment,subway,surface,,,
SRR28911171,PRJNA732392,SAMN41164433,haib17DB4959_HMCMJCCXY_SL336160,,metasub,,USA,North America,,,,,39.289507 N 76.613877 W,,6/29/17,built environment,subway,surface,,,
SRR28911174,PRJNA732392,SAMN41164664,haib17DB4959_HMCMJCCXY_SL336161,,metasub,,USA,North America,,,,,39.289531 N 76.61394 W,,6/29/17,built environment,subway,surface,,,
SRR28911607,PRJNA732392,SAMN41164871,haib17DB4959_HMCMJCCXY_SL336162,,metasub,,USA,North America,,,,,39.289523 N 76.613904 W,,6/29/17,built environment,subway,surface,,,
SRR28911247,PRJNA732392,SAMN41164696,haib17DB4959_HMCMJCCXY_SL336163,,metasub,,USA,North America,,,,,39.289474 N 76.61392 W,,6/29/17,built environment,subway,surface,,,
SRR28910815,PRJNA732392,SAMN41165138,haib17DB4959_HMCMJCCXY_SL336164,,metasub,,USA,North America,,,,,39.289473 N 76.606502 W,,6/29/17,built environment,subway,surface,,,
SRR28911216,PRJNA732392,SAMN41164517,haib17DB4959_HMCMJCCXY_SL336165,,metasub,,USA,North America,,,,,39.289456 N 76.60648 W,,6/29/17,built environment,subway,surface,,,
SRR28911415,PRJNA732392,SAMN41164898,haib17DB4959_HMCMJCCXY_SL336166,,metasub,,USA,North America,,,,,39.289456 N 76.60648 W,,6/29/17,built environment,subway,surface,,,
SRR28911370,PRJNA732392,SAMN41165068,haib17DB4959_HMCMJCCXY_SL336167,,metasub,,USA,North America,,,,,39.289473 N 76.606502 W,,6/29/17,built environment,subway,surface,,,
SRR28910942,PRJNA732392,SAMN41164700,haib17DB4959_HMCMJCCXY_SL336169,,metasub,,Australia,Oceania,,,,,27.420399 S 152.992471 E,,6/21/17,built environment,subway,surface,,,
SRR28911468,PRJNA732392,SAMN41164656,haib17DB4959_HMCMJCCXY_SL336170,,metasub,,USA,North America,,,,,39.298573 N 76.594614 W,,6/29/17,built environment,subway,surface,,,
SRR28911324,PRJNA732392,SAMN41165175,haib17DB4959_HMCMJCCXY_SL336171,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911574,PRJNA732392,SAMN41165030,haib17DB4959_HMCMJCCXY_SL336172,,metasub,,Japan,Asia,,,,,35.38689 N 139.428794 E,,6/29/17,built environment,subway,surface,,,
